,Nama,Ulasan,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
0,Antonina Suryantari,tempatnya bagus tetapi agak kotor ada limbah tebu yang sepertinya dibuang di sekitar area sehingga ada bau tidak sedap yang tercium kalau areanya bersih akan lebih menyenangkan menghabiskan waktu di sana,Negatif,"['tempatnya', 'bagus', 'tetapi', 'agak', 'kotor', 'ada', 'limbah', 'tebu', 'yang', 'sepertinya', 'dibuang', 'di', 'sekitar', 'area', 'sehingga', 'ada', 'bau', 'tidak', 'sedap', 'yang', 'tercium', 'kalau', 'areanya', 'bersih', 'akan', 'lebih', 'menyenangkan', 'menghabiskan', 'waktu', 'di', 'sana']","['tempatnya', 'bagus', 'tetapi', 'agak', 'kotor', 'ada', 'limbah', 'tebu', 'yang', 'sepertinya', 'dibuang', 'di', 'sekitar', 'area', 'sehingga', 'ada', 'bau', 'tidak', 'sedap', 'yang', 'tercium', 'kalau', 'areanya', 'bersih', 'akan', 'lebih', 'menyenangkan', 'menghabiskan', 'waktu', 'di', 'sana']","['tempatnya', 'bagus', 'kotor', 'limbah', 'tebu', 'dibuang', 'area', 'bau', 'sedap', 'tercium', 'areanya', 'bersih', 'menyenangkan', 'menghabiskan']","['tempatnya', 'bagus', 'kotor', 'limbah', 'tebu', 'dibuang', 'area', 'bau', 'sedap', 'tercium', 'areanya', 'bersih', 'menyenangkan', 'menghabiskan']","['tempat', 'bagus', 'kotor', 'limbah', 'tebu', 'buang', 'area', 'bau', 'sedap', 'cium', 'area', 'bersih', 'senang', 'habis']"
1,izdiharuddin muhammad,pemandangan yg indah adem pula suasanyanya meskipun pinggir laut cuman air terjunya hanya ada ketika musim hujan,Positif,"['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan']","['pemandangan', 'yang', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan']","['pemandangan', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']","['pemandangan', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']","['pandang', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']"
2,Novakusuma Bangsa,tempat wisata yg keren dan recomended bgt buat dikunjungi apalagi kuliner dan es degannya yg bner bisa buat kita move on dari mantan,Positif,"['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan']","['tempat', 'wisata', 'yang', 'keren', 'dan', 'rekomendasi', 'banget', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yang', 'bner', 'bisa', 'buat', 'kita', 'move', 'hidup', 'dari', 'mantan']","['wisata', 'keren', 'rekomendasi', 'banget', 'dikunjungi', 'kuliner', 'es', 'degannya', 'bner', 'move', 'hidup', 'mantan']","['wisata', 'keren', 'rekomendasi', 'banget', 'dikunjungi', 'kuliner', 'es', 'degannya', 'bner', 'move', 'hidup', 'mantan']","['wisata', 'keren', 'rekomendasi', 'banget', 'kunjung', 'kuliner', 'es', 'degan', 'bner', 'move', 'hidup', 'mantan']"
3,Hendra Susanto,mantap viewnya bagus banget terlihat masih asri dan air terjunnya langsung ke pantai,Positif,"['mantap', 'viewnya', 'bagus', 'banget', 'terlihat', 'masih', 'asri', 'dan', 'air', 'terjunnya', 'langsung', 'ke', 'pantai']","['mantap', 'viewnya', 'bagus', 'banget', 'terlihat', 'masih', 'asri', 'dan', 'air', 'terjunnya', 'langsung', 'ke', 'pantai']","['mantap', 'viewnya', 'bagus', 'banget', 'asri', 'air', 'terjunnya', 'langsung', 'pantai']","['mantap', 'viewnya', 'bagus', 'banget', 'asri', 'air', 'terjunnya', 'langsung', 'pantai']","['mantap', 'viewnya', 'bagus', 'banget', 'asri', 'air', 'terjun', 'langsung', 'pantai']"
4,Gabriel Pramana,pemandangannya bagus tempatnya nyaman tetapi sangat di sayangkan dialiran air terjun masih banyak sampah sampah plastik yang berserakan alangkah lebih baik pengelola dapat membersihkan sampah sampah tersebut agar pemandangan jauh lebih baik lagi,Negatif,"['pemandangannya', 'bagus', 'tempatnya', 'nyaman', 'tetapi', 'sangat', 'di', 'sayangkan', 'dialiran', 'air', 'terjun', 'masih', 'banyak', 'sampah', 'sampah', 'plastik', 'yang', 'berserakan', 'alangkah', 'lebih', 'baik', 'pengelola', 'dapat', 'membersihkan', 'sampah', 'sampah', 'tersebut', 'agar', 'pemandangan', 'jauh', 'lebih', 'baik', 'lagi']","['pemandangannya', 'bagus', 'tempatnya', 'nyaman', 'tetapi', 'sangat', 'di', 'sayangkan', 'dialiran', 'air', 'terjun', 'masih', 'banyak', 'sampah', 'sampah', 'plastik', 'yang', 'berserakan', 'alangkah', 'lebih', 'baik', 'pengelola', 'dapat', 'membersihkan', 'sampah', 'sampah', 'tersebut', 'agar', 'pemandangan', 'jauh', 'lebih', 'baik', 'lagi']","['pemandangannya', 'bagus', 'tempatnya', 'nyaman', 'sayangkan', 'dialiran', 'air', 'terjun', 'sampah', 'sampah', 'plastik', 'berserakan', 'alangkah', 'pengelola', 'membersihkan', 'sampah', 'sampah', 'pemandangan']","['pemandangannya', 'bagus', 'tempatnya', 'nyaman', 'sayangkan', 'dialiran', 'air', 'terjun', 'sampah', 'sampah', 'plastik', 'berserakan', 'alangkah', 'pengelola', 'membersihkan', 'sampah', 'sampah', 'pemandangan']","['pandang', 'bagus', 'tempat', 'nyaman', 'sayang', 'alir', 'air', 'terjun', 'sampah', 'sampah', 'plastik', 'sera', 'alangkah', 'kelola', 'bersih', 'sampah', 'sampah', 'pandang']"
5,Nur Azizah,tiket masuk rb orang anak free batu karang nya sampai hampir ke tengah air sekitar air terjun agak keruh tp,Negatif,"['tiket', 'masuk', 'rb', 'orang', 'anak', 'free', 'batu', 'karang', 'nya', 'sampai', 'hampir', 'ke', 'tengah', 'air', 'sekitar', 'air', 'terjun', 'agak', 'keruh', 'tp']","['tiket', 'masuk', 'rb', 'orang', 'anak', 'gratis', 'batu', 'karang', 'nya', 'sampai', 'hampir', 'ke', 'tengah', 'air', 'sekitar', 'air', 'terjun', 'agak', 'keruh', 'tapi']","['tiket', 'masuk', 'rb', 'orang', 'anak', 'gratis', 'batu', 'karang', 'nya', 'air', 'air', 'terjun', 'keruh']","['tiket', 'masuk', 'rb', 'gratis', 'batu', 'karang', 'air', 'air', 'terjun', 'keruh']","['tiket', 'masuk', 'rb', 'gratis', 'batu', 'karang', 'air', 'air', 'terjun', 'keruh']"
6,Adi Purna,november unik jg air terjun di pinggir laut saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim,Positif,"['november', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim']","['november', 'unik', 'juga', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'mau', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'sini', 'pas', 'musim']","['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'pas', 'musim']","['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'airnya', 'bagus', 'jernih', 'berkunjung', 'musim']","['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'air', 'bagus', 'jernih', 'kunjung', 'musim']"
7,muhammad ansani,tempatnya nyaman lesehan makanannya lumayan banyak menu yg disajikan tentunya pinggir laut jadi dapat pemandangan sekaligus bisa menyantap hidangan,Positif,"['tempatnya', 'nyaman', 'lesehan', 'makanannya', 'lumayan', 'banyak', 'menu', 'yg', 'disajikan', 'tentunya', 'pinggir', 'laut', 'jadi', 'dapat', 'pemandangan', 'sekaligus', 'bisa', 'menyantap', 'hidangan']","['tempatnya', 'nyaman', 'lesehan', 'makanannya', 'lumayan', 'banyak', 'menu', 'yang', 'disajikan', 'tentunya', 'pinggir', 'laut', 'jadi', 'dapat', 'pemandangan', 'sekaligus', 'bisa', 'menyantap', 'hidangan']","['tempatnya', 'nyaman', 'lesehan', 'makanannya', 'lumayan', 'menu', 'disajikan', 'pinggir', 'laut', 'pemandangan', 'menyantap', 'hidangan']","['tempatnya', 'nyaman', 'lesehan', 'makanannya', 'lumayan', 'menu', 'disajikan', 'pinggir', 'laut', 'pemandangan', 'menyantap', 'hidangan']","['tempat', 'nyaman', 'leseh', 'makan', 'lumayan', 'menu', 'saji', 'pinggir', 'laut', 'pandang', 'santap', 'hidang']"
8,tri haryadi,pemandangan di sini bagus karena memadukan air terjun dan laut harga tiket masuknya murah k orang tapi perawatan dan pengembangannya kurang banyak sampah harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek k motor r kalau ada yang mau ditanya silakan jangan lupa like juga,Negatif,"['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'k', 'orang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'k', 'motor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga']","['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'ribu', 'orang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'ribu', 'motor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'suka', 'juga']","['pemandangan', 'bagus', 'memadukan', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'ribu', 'orang', 'perawatan', 'pengembangannya', 'sampah', 'harga', 'parkir', 'mahal', 'ukuran', 'wisata', 'obyek', 'ribu', 'motor', 'r', 'silakan', 'lupa', 'suka']","['pemandangan', 'bagus', 'memadukan', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'perawatan', 'pengembangannya', 'sampah', 'harga', 'parkir', 'mahal', 'ukuran', 'wisata', 'obyek', 'motor', 'r', 'silakan', 'lupa', 'suka']","['pandang', 'bagus', 'madu', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'awat', 'kembang', 'sampah', 'harga', 'parkir', 'mahal', 'ukur', 'wisata', 'obyek', 'motor', 'r', 'sila', 'lupa', 'suka']"
9,S Nowo El Mahdy,dulu lumayan sering ke sini salah satu destinasi paling favorit kalau hendak hunting foto landscape di pulau madura,Positif,"['dulu', 'lumayan', 'sering', 'ke', 'sini', 'salah', 'satu', 'destinasi', 'paling', 'favorit', 'kalau', 'hendak', 'hunting', 'foto', 'landscape', 'di', 'pulau', 'madura']","['dulu', 'lumayan', 'sering', 'ke', 'sini', 'salah', 'satu', 'destinasi', 'paling', 'favorit', 'kalau', 'hendak', 'hunting', 'foto', 'landscape', 'di', 'pulau', 'madura']","['lumayan', 'salah', 'destinasi', 'favorit', 'hunting', 'foto', 'landscape', 'pulau', 'madura']","['lumayan', 'salah', 'destinasi', 'favorit', 'hunting', 'foto', 'landscape', 'pulau', 'madura']","['lumayan', 'salah', 'destinasi', 'favorit', 'hunting', 'foto', 'landscape', 'pulau', 'madura']"
