,kata,vector
0,tempat,-3.260219e-05
1,kotor,-7.736593e-05
2,baguus,1.3783704e-05
3,kelola,-4.9876984e-05
4,masyarakat,-3.315864e-05
5,moga,-5.235997e-05
6,ramai,-2.9017545e-05
7,bagus,-0.00011133886
8,rame,2.8963204e-05
9,kuliner,-4.0266747e-05
10,seru,1.00876105e-05
11,air,-0.00020020771
12,terjun,-0.00017454562
13,pasang,-3.6045552e-05
14,kayak,-3.0046838e-05
15,saran,-4.6771733e-05
16,mandi,-7.88262e-05
17,air,-0.00020020771
18,terjun,-0.00017454562
19,bayar,-6.0662645e-05
20,parkir,-0.000118844
21,kendara,-2.6535612e-05
22,lahan,-1.6315049e-05
23,parkir,-0.000118844
24,luas,-5.563993e-05
25,bias,-1.3275374e-05
26,motor,-8.319676e-05
27,mobil,-2.7943022e-05
28,bus,-1.1089099e-05
29,pariwisata,8.542103e-06
30,keren,-4.016674e-05
31,pandang,-9.551442e-05
32,laut,-0.00017746219
33,bagus,-0.00011133886
34,lumayan,-4.1320374e-05
35,bagus,-0.00011133886
36,lokasi,-6.4654654e-05
37,wisata,-8.929305e-05
38,bagus,-0.00011133886
39,spot,-7.39493e-05
40,foto,-6.582436e-05
41,pinggir,-0.000114771996
42,laut,-0.00017746219
43,air,-0.00020020771
44,terjun,-0.00017454562
45,bersih,-0.00010601336
46,lengkap,-1.6487445e-05
47,makan,-0.00011043447
48,karcis,1.2998567e-05
49,murah,-2.3442924e-05
50,keren,-4.016674e-05
51,abiss,-1.540365e-05
52,cuyyy,-2.7617639e-06
53,wisata,-8.929305e-05
54,bagus,-0.00011133886
55,pantai,-0.00012732984
56,utara,-6.2090294e-05
57,madura,-0.00012651196
58,destinasi,-9.605831e-05
59,wisata,-8.929305e-05
60,bagus,-0.00011133886
61,banged,-3.1251668e-05
62,mohon,-9.476347e-06
63,hati,-0.00010181013
64,hati,-0.00010181013
65,guys,-1.1459529e-05
66,unjung,-5.040632e-05
67,boleh,1.3250822e-05
68,mandi,-7.88262e-05
69,alas,9.488272e-06
70,jaga,-4.2531115e-05
71,alam,-5.6761175e-05
72,utuh,-3.310329e-05
73,bagus,-0.00011133886
74,selamat,-5.0586723e-06
75,kunjung,-5.6902878e-05
76,bagus,-0.00011133886
77,view,-9.9871875e-05
78,photo,-9.745599e-06
79,langsung,-8.093102e-05
80,turun,-7.3778734e-05
81,laut,-0.00017746219
82,air,-0.00020020771
83,terjun,-0.00017454562
84,bagus,-0.00011133886
85,langsung,-8.093102e-05
86,turun,-7.3778734e-05
87,laut,-0.00017746219
88,pandang,-9.551442e-05
89,double,-4.746006e-05
90,air,-0.00020020771
91,terjun,-0.00017454562
92,laut,-0.00017746219
93,air,-0.00020020771
94,terjun,-0.00017454562
95,parkir,-0.000118844
96,luas,-5.563993e-05
97,khawatir,2.5754112e-05
98,kesana,-9.384369e-05
99,mobil,-2.7943022e-05
100,kotor,-7.736593e-05
101,bersih,-0.00010601336
102,tempat,-3.260219e-05
103,tiket,-3.9612427e-05
104,masuk,-0.0001161102
105,bayar,-6.0662645e-05
106,parkir,-0.000118844
107,afa,1.4355539e-05
108,kuliner,-4.0266747e-05
109,asyik,-2.2442777e-05
110,air,-0.00020020771
111,terjun,-0.00017454562
112,letak,-1.2918457e-05
113,langsung,-8.093102e-05
114,jatuh,-5.099299e-05
115,pantai,-0.00012732984
116,bikin,-1.9827172e-05
117,penasaran,-5.346692e-06
118,makan,-0.00011043447
119,minum,-3.0655414e-05
120,toilet,-9.865809e-05
121,mushola,-3.2814896e-05
122,bentuk,2.0171501e-05
123,gardu,-2.0963858e-05
124,jaga,-4.2531115e-05
